Province,จำนวน NGO/CSO ในพื้นที่,จำนวนอุบัติเหตุ,ค่าแรงขั้นต่ำ,จำนวนแรงงานข้ามชาติที่มีประกันสุขภาพ,จำนวนแรงงานข้ามชาติ,จำนวนเด็กนักเรียนเลข G
กระบี่,1.00,40.00,354.00,"5,697.00","12,771.00",571.00
กรุงเทพมหานคร,39.00,141.00,372.00,"22,405.00","699,690.00","25,583.00"
กาญจนบุรี,5.00,105.00,352.00,"20,303.00","38,329.00","4,969.00"
กาฬสินธุ์,0.00,0.00,349.00,181.00,"1,076.00",107.00
กำแพงเพชร,0.00,NA,347.00,"2,022.00","6,943.00",377.00
ขอนแก่น,1.00,8.00,357.00,"1,442.00","7,974.00",236.00
จันทบุรี,1.00,458.00,352.00,"110,434.00","47,215.00","3,258.00"
ฉะเชิงเทรา,0.00,148.00,400.00,"9,398.00","58,632.00","1,749.00"
ชลบุรี,5.00,"1,177.00",400.00,"10,324.00","206,494.00","7,776.00"
ชัยนาท,0.00,NA,348.00,777.00,"2,444.00",52.00
ชัยภูมิ,0.00,0.00,348.00,593.00,"2,833.00",85.00
ชุมพร,0.00,53.00,351.00,"19,461.00","46,823.00","2,286.00"
เชียงราย,11.00,85.00,352.00,"7,124.00","19,510.00","15,290.00"
เชียงใหม่,18.00,62.00,357.00,"28,708.00","109,297.00","28,362.00"
ตรัง,0.00,97.00,345.00,"2,135.00","9,848.00",159.00
ตราด,2.00,324.00,354.00,"14,598.00","17,183.00","2,212.00"
ตาก,22.00,42.00,352.00,"36,073.00","38,455.00","9,742.00"
นครนายก,0.00,26.00,355.00,"1,001.00","8,205.00",395.00
นครปฐม,1.00,265.00,372.00,"15,189.00","115,031.00","3,550.00"
นครพนม,0.00,2.00,352.00,662.00,"2,481.00",474.00
นครราชสีมา,1.00,24.00,359.00,"5,477.00","28,483.00","1,423.00"
นครศรีธรรมราช,2.00,20.00,349.00,"7,282.00","24,315.00","1,496.00"
นครสวรรค์,0.00,NA,350.00,"2,120.00","8,570.00",210.00
นนทบุรี,0.00,156.00,372.00,"6,400.00","123,984.00","2,541.00"
นราธิวาส,7.00,2.00,337.00,481.00,"1,783.00",143.00
น่าน,1.00,22.00,345.00,398.00,"1,114.00",163.00
บึงกาฬ,0.00,2.00,349.00,375.00,"1,743.00",140.00
บุรีรัมย์,1.00,14.00,352.00,726.00,"2,538.00",190.00
ปทุมธานี,3.00,159.00,372.00,"4,663.00","181,066.00","1,948.00"
ประจวบคีรีขันธ์,2.00,115.00,352.00,"11,285.00","32,378.00","2,488.00"
ปราจีนบุรี,0.00,76.00,357.00,"1,393.00","25,474.00",840.00
ปัตตานี,7.00,8.00,337.00,"3,320.00","6,552.00",194.00
พระนครศรีอยุธยา,1.00,36.00,357.00,"1,528.00","38,428.00",809.00
พะเยา,2.00,10.00,345.00,441.00,"1,944.00",286.00
พังงา,2.00,125.00,352.00,"12,674.00","25,048.00","1,078.00"
พัทลุง,0.00,23.00,348.00,287.00,"1,488.00",57.00
พิจิตร,0.00,NA,347.00,530.00,"2,302.00",24.00
พิษณุโลก,0.00,16.00,352.00,"3,347.00","7,344.00",253.00
เพชรบุรี,2.00,132.00,351.00,"5,668.00","31,146.00",597.00
เพชรบูรณ์,0.00,8.00,349.00,888.00,"12,305.00",185.00
แพร่,0.00,2.00,345.00,208.00,"1,678.00",65.00
ภูเก็ต,4.00,234.00,400.00,"43,720.00","93,624.00","3,555.00"
มหาสารคาม,1.00,0.00,347.00,208.00,"1,326.00",69.00
มุกดาหาร,1.00,6.00,352.00,331.00,"1,388.00",252.00
แม่ฮ่องสอน,0.00,10.00,347.00,877.00,"2,370.00","3,793.00"
ยโสธร,0.00,4.00,350.00,91.00,743.00,41.00
ยะลา,0.00,110.00,337.00,709.00,"3,866.00",75.00
ร้อยเอ็ด,0.00,2.00,349.00,158.00,"1,823.00",103.00
ระนอง,6.00,268.00,347.00,"20,210.00","36,077.00","2,523.00"
ระยอง,2.00,131.00,400.00,"11,828.00","91,435.00","3,402.00"
ราชบุรี,2.00,117.00,347.00,"13,443.00","53,936.00","3,370.00"
ลพบุรี,0.00,22.00,356.00,"1,634.00","14,033.00",293.00
ลำปาง,1.00,0.00,347.00,"1,767.00","4,212.00",567.00
ลำพูน,2.00,0.00,350.00,"4,307.00","13,530.00","2,760.00"
เลย,0.00,4.00,347.00,701.00,"2,967.00",352.00
ศรีสะเกษ,1.00,0.00,347.00,244.00,"1,480.00",171.00
สกลนคร,0.00,0.00,352.00,381.00,"1,722.00",147.00
สงขลา,5.00,"1,924.00",352.00,"5,172.00","50,429.00",634.00
สตูล,1.00,37.00,347.00,"1,903.00","3,067.00",50.00
สมุทรปราการ,3.00,66.00,372.00,"5,363.00","226,287.00","3,213.00"
สมุทรสงคราม,6.00,59.00,358.00,"5,495.00","16,260.00",261.00
สมุทรสาคร,6.00,"6,696.00",372.00,"10,251.00","274,873.00","2,285.00"
สระแก้ว,1.00,0.00,352.00,"11,151.00","24,125.00","3,128.00"
สระบุรี,0.00,8.00,357.00,"3,677.00","27,960.00","1,088.00"
สิงห์บุรี,0.00,2.00,348.00,274.00,"1,682.00",44.00
สุโขทัย,0.00,0.00,347.00,254.00,"1,071.00",47.00
สุพรรณบุรี,0.00,98.00,355.00,"3,234.00","16,118.00",651.00
สุราษฎร์ธานี,2.00,631.00,352.00,"38,138.00","103,767.00","4,024.00"
สุรินทร์,1.00,12.00,351.00,"2,946.00","2,477.00",243.00
หนองคาย,5.00,2.00,355.00,392.00,"2,297.00",468.00
หนองบัวลำภู,0.00,2.00,347.00,149.00,758.00,46.00
อ่างทอง,0.00,4.00,348.00,344.00,"3,337.00",105.00
อำนาจเจริญ,0.00,0.00,347.00,71.00,382.00,72.00
อุดรธานี,0.00,4.00,347.00,461.00,"3,545.00",340.00
อุตรดิตถ์,0.00,0.00,347.00,203.00,"1,116.00",57.00
อุทัยธานี,0.00,0.00,347.00,537.00,"1,520.00",54.00
อุบลราชธานี,1.00,0.00,352.00,453.00,"3,279.00",962.00
